# The following table is mechanically generated from CLDR.
# Don't add anything to this, except to bring new ISO 4217 codes when
# CLDR is updated.
# See: http://sites/intl-eng/update/iii.
# Generated from CLDR supplementalData.xml revision 6610
IO;USD;19651108;-
IO;GBP;19651108;-
IQ;IQD;19310419;-
IQ;EGP;19201111;19310419
IQ;INR;19201111;19310419
IR;IRR;19320513;-
IS;ISK;19810101;-
IS;ISJ;19181201;19810101
IS;DKK;18730527;19181201
IT;EUR;19990101;-
IT;ITL;18620824;20020228
JE;GBP;18370101;-
JM;JMD;19690908;-
JO;JOD;19500701;-
JP;JPY;18710601;-
KE;KES;19660914;-
KG;KGS;19930510;-
KG;RUR;19911225;19930510
KG;SUR;19610101;19911225
KH;KHR;19800320;-
KI;AUD;19660214;-
KM;KMF;19750706;-
KN;XCD;19651006;-
KP;KPW;19590417;-
KR;KRW;19620610;-
KR;KRH;19530215;19620610
KR;KRO;19450815;19530215
KW;KWD;19610401;-
KY;KYD;19710101;-
KY;JMD;19690908;19710101
KZ;KZT;19931105;-
LA;LAK;19791210;-
LB;LBP;19480202;-
LC;XCD;19651006;-
LI;CHF;19210201;-
LK;LKR;19780522;-
LR;LRD;19440101;-
LS;ZAR;19610214;-
LS;LSL;19800122;-
LT;LTL;19930625;-
LT;LTT;19921001;19930625
LT;SUR;19610101;19921001
LU;EUR;19990101;-
LU;LUF;19440904;20020228
LV;LVL;19930628;-
LV;LVR;19920507;19931017
LV;SUR;19610101;19920720
LY;LYD;19710901;-
MA;MAD;19591017;-
MA;MAF;18810101;19591017
MC;EUR;19990101;-
MC;FRF;19600101;20020217
MC;MCF;19600101;20020217
MD;MDL;19931129;-
MD;MDC;19920601;19931129
ME;EUR;20020101;-
ME;DEM;19991002;20020515
ME;YUM;19940124;20020515
MF;EUR;19990101;-
MF;FRF;19600101;20020217
MG;MGA;19831101;-
MG;MGF;19630701;20041231
MH;USD;19440101;-
MK;MKD;19930520;-
MK;MKN;19920426;19930520
ML;XOF;19840601;-
ML;MLF;19620702;19840831
ML;XOF;19581124;19620702
MM;MMK;19890618;-
MM;BUK;19520701;19890618
MN;MNT;19150301;-
MO;MOP;19010101;-
MP;USD;19440101;-
MQ;EUR;19990101;-
MQ;FRF;19600101;20020217
MR;MRO;19730629;-
MR;XOF;19581128;19730629
MS;XCD;19670227;-
MT;EUR;20080101;-
MT;MTL;19680607;20080131
MT;MTP;19140813;19680607
MU;MUR;19340401;-
MV;MVR;19810701;-
MV;MVP;19470101;19810701
MW;MWK;19710215;-
MX;MXN;19930101;-
MX;MXP;18220101;19921231
MY;MYR;19630916;-
MZ;MZN;20060701;-
MZ;MZM;19800616;20061231
MZ;MZE;19750625;19800616
NA;NAD;19930101;-
NA;ZAR;19610214;19930101
NC;XPF;19850101;-
NE;XOF;19581219;-
NF;AUD;19660214;-
NG;NGN;19730101;-
NI;NIO;19910430;-
NI;NIC;19880215;19910430
NL;EUR;19990101;-
NL;NLG;18130101;20020228
NO;NOK;19050607;-
NO;SEK;18730527;19050607
NP;NPR;19330101;-
NP;INR;18700101;19661017
NR;AUD;19660214;-
NU;NZD;19670710;-
NZ;NZD;19670710;-
OM;OMR;19721111;-
PA;PAB;19031104;-
PA;USD;19031118;-
PE;PEN;19910701;-
PE;PEI;19850201;19910701
PE;PES;18630214;19850201
PF;XPF;19451226;-
PG;PGK;19750916;-
PG;AUD;19660214;19750916
PH;PHP;19460704;-
PK;PKR;19480401;-
PK;INR;18350817;19470815
PL;PLN;19950101;-
PL;PLZ;19501028;19941231
PM;EUR;19990101;-
PM;FRF;19721221;20020217
PN;NZD;19690113;-
PR;USD;18981210;-
PR;ESP;18000101;18981210
PS;JOD;19960212;-
PS;ILS;19850904;-
PS;ILP;19670601;19800222
PS;JOD;19500701;19670601
PT;EUR;19990101;-
PT;PTE;19110522;20020228
PW;USD;19440101;-
PY;PYG;19431101;-
QA;QAR;19730519;-
EU;EUR;19990101;-
RE;EUR;19990101;-
RE;FRF;19750101;20020217
RO;RON;20050701;-
RO;ROL;19520128;20061231
RS;RSD;20061025;-
RS;CSD;20020515;20061025
RS;YUM;19940124;20020515
RU;RUB;19990101;-
RU;RUR;19911225;19981231
RW;RWF;19640519;-
SA;SAR;19521022;-
SB;SBD;19771024;-
SB;AUD;19660214;19780630
SC;SCR;19031101;-
SD;SDG;20070110;-
SD;SDD;19920608;20070630
SD;SDP;19570408;19980601
SD;EGP;18890119;19580101
SD;GBP;18890119;19580101
SE;SEK;18730527;-
SG;SGD;19670612;-
SG;MYR;19630916;19670612
SH;SHP;19170215;-
SI;EUR;20070101;-
SI;SIT;19921007;20070114
SJ;NOK;19050607;-
SK;EUR;20090101;-
SK;SKK;19921231;20090101
SK;CSK;19530601;19921231
SL;SLL;19640804;-
SL;GBP;18081130;19660204
SM;EUR;19990101;-
SM;ITL;18651223;20010228
SN;XOF;19590404;-
SO;SOS;19600701;-
SR;SRD;20040101;-
SR;SRG;19400510;20031231
SR;NLG;18151120;19400510
SS;SSP;20110718;-
SS;SDG;20070110;20110901
ST;STD;19770908;-
SU;SUR;19610101;19911225
SV;USD;20010101;-
SV;SVC;19191111;20010101
SY;SYP;19480101;-
SZ;SZL;19740906;-
TC;USD;19690908;-
TD;XAF;19930101;-
TF;EUR;19990101;-
TF;FRF;19590101;20020217
TG;XOF;19581128;-
TH;THB;19280415;-
