# Copyright 2008 Google Inc. All rights reserved.
# This file was machine-generated, do not edit.
# This file is encoded in UTF-8, do not reencode.
# ICU4J version 4.0.0.0
# Generated on 2008-10-01 12:41:27 with com.google.i18n.identifiers.impl.tools.BuildLanguageNameTables by dougfelt
x-bork;x-bork;Bork, bork, bork!
yi;am;ይዲሻዊኛ
zh_Hant;ar;الصينية (الهان التقليدية)‏
fy;ar;الفريزيان
gd;ar;الغيلية الأسكتلندية
ga;ar;الأيرلندية
shn;ar;الشانية
fj;ar;الفيجية
ff;ar;الفلة
fi;ar;الفنلندية
fr;ar;الفرنسية
fo;ar;الفارويز
zh_Hans;ar;الصينية (الهان المبسطة)‏
udm;ar;الأدمرت
sga;ar;الأيرلندية القديمة
he;ar;العبرية
ha;ar;الهوسا
sgn;ar;لغات الأشارة
gn;ar;الجوارانى
gil;ar;لغة أهل جبل طارق
gl;ar;الجاليكية
ain;ar;الآينوية
gv;ar;المنكية
bik;ar;البيكولية
gu;ar;الغوجاراتية
iba;ar;الايبان
bin;ar;البينية
dv;ar;المالديفية
dz;ar;الزونخاية
de;ar;الألمانية
fr_CH;ar;الفرنسية (سويسرا)‏
mak;ar;الماكاسار
mad;ar;المادريز
mag;ar;الماجا
map;ar;الأوسترونيسيان
fr_CA;ar;الفرنسية (كندا)‏
mas;ar;الماساي
wen;ar;اللغات الصربية
nl_BE;ar;الهولندية (بلجيكا)‏
man;ar;الماندينغ
sid;ar;السيدامو
eu;ar;لغة الباسك
khi;ar;الخويسان - أخرى
fa;ar;الفارسية
bla;ar;السيكسيكية
sit;ar;الصينية التيبتية - أخرى
new;ar;النيوارى
el;ar;اليونانية
sio;ar;لغات السيويون
zen;ar;الزيناجا
eo;ar;اسبرانتو
en;ar;الانجليزية
et;ar;الأستونية
kho;ar;الخوتانيز
es;ar;الأسبانية
efi;ar;الافيك
ca;ar;الكاتالوينية
hai;ar;الهيدا
haw;ar;لغة أهل الهاواى
bs;ar;البوسنية
br;ar;البريتونية
bn;ar;البنغالية
